time,psis,tair,D,Ca,al
2000-04-22,-1.2680434,25.185486,10.751055,420,10
2000-04-23,-1.4570204,23.524506,10.647076,420,10
2000-04-24,-1.6526833,25.629425,9.207716,420,10
2000-04-25,-1.8291641,25.01056,8.732466,420,10
2000-04-26,-1.8315961,24.02182,7.471176,420,10
2000-04-27,-1.8597727,24.07492,9.742331,420,10
2000-04-28,-2.01907,23.714233,10.496927,420,10
2000-04-29,-2.1999032,25.067322,10.859858,420,10
2000-04-30,-2.4014077,24.9346,10.294569,420,10
2000-05-01,-2.46271,25.001495,9.405701,420,10
2000-05-02,-2.5116282,25.18924,9.893469,420,10
2000-05-03,-2.5432427,25.006775,8.50227,420,10
2000-05-04,-2.6100883,24.971588,9.375353,420,10
2000-05-05,-2.80004,25.175934,9.898008,420,10
2000-05-06,-2.9931238,25.318542,9.69261,420,10
2000-05-07,-3.1645365,25.611877,9.825092,420,10
2000-05-08,-3.26057,26.011932,9.388367,420,10
2000-05-09,-3.2796607,25.837769,9.275646,420,10
2000-05-10,-3.4407163,26.319397,9.722227,420,10
2000-05-11,-3.582818,27.322754,8.574148,420,10
2000-05-12,-3.745126,27.368896,9.924292,420,10
2000-05-13,-3.9174929,27.437805,10.6519165,420,10
2000-05-14,-4.0985503,27.39209,12.031792,420,10
2000-05-15,-4.28516,26.982605,12.294615,420,10
2000-05-16,-4.4566736,26.901062,11.724361,420,10
2000-05-17,-4.6289415,26.96997,11.113638,420,10
2000-05-18,-4.754344,26.806885,10.108891,420,10
2000-05-19,-4.879732,26.181793,11.053183,420,10
2000-05-20,-4.969027,25.706299,9.122824,420,10
2000-05-21,-5.0325484,26.130707,10.688042,420,10
2000-05-22,-5.127914,27.40094,10.14102,420,10
2000-05-23,-4.4119873,27.590424,9.173653,420,10
2000-05-24,-3.9061992,27.8042,8.854815,420,10
2000-05-25,-3.874714,28.783966,10.323223,420,10
2000-05-26,-3.9882731,29.379059,10.153944,420,10
2000-05-27,-4.121687,29.091522,11.073793,420,10
2000-05-28,-4.3215795,28.900208,10.686354,420,10
2000-05-29,-4.1935434,27.890259,9.010935,420,10
2000-05-30,-4.077121,28.677704,11.056261,420,10
2000-05-31,-3.154842,27.313568,9.509123,420,10
2000-06-01,-2.4589305,27.715912,8.598856,420,10
2000-06-02,-2.3833303,27.649078,8.826752,420,10
2000-06-03,-2.3973055,28.331879,8.924122,420,10
2000-06-04,-2.4714534,28.216461,9.297359,420,10
2000-06-05,-2.3937376,28.569183,9.135183,420,10
2000-06-06,-2.470002,29.351501,10.127449,420,10
2000-06-07,-2.6633294,29.292572,10.555777,420,10
2000-06-08,-2.4879823,26.990479,7.9433613,420,10
2000-06-09,-1.871394,26.544922,6.9188633,420,10
2000-06-10,-1.6244577,26.421112,7.7827663,420,10
2000-06-11,-1.3250066,26.758392,7.044073,420,10
2000-06-12,-1.1104755,27.398071,6.9053,420,10
2000-06-13,-0.98583704,27.608368,6.2888317,420,10
2000-06-14,-1.0818888,28.137085,8.210331,420,10
2000-06-15,-1.2413527,28.549866,9.497833,420,10
2000-06-16,-1.3093634,28.051025,8.928125,420,10
2000-06-17,-1.3101659,28.10138,7.757826,420,10
2000-06-18,-1.2921702,28.273926,7.8380013,420,10
2000-06-19,-1.3209865,27.772034,6.6969814,420,10
2000-06-20,-1.2996043,28.166748,8.086586,420,10
2000-06-21,-1.4085548,28.235046,8.726112,420,10
2000-06-22,-1.5251094,28.655487,9.7281,420,10
2000-06-23,-1.6842782,28.467438,9.717392,420,10
2000-06-24,-1.7585566,28.161224,8.840185,420,10
2000-06-25,-1.6175116,27.610046,7.1611958,420,10
2000-06-26,-1.4187938,27.301514,7.371105,420,10
2000-06-27,-1.3142171,27.318298,6.920637,420,10
2000-06-28,-1.159951,27.480621,7.5882874,420,10
2000-06-29,-1.2109646,27.993317,8.24638,420,10
2000-06-30,-1.3373767,28.437622,8.617149,420,10
2000-07-01,-1.4320582,28.559784,8.410984,420,10
2000-07-02,-1.2736549,28.432495,7.8492413,420,10
2000-07-03,-0.7170863,26.628937,4.8343315,420,10
2000-07-04,-0.6000638,27.7659,8.069452,420,10
2000-07-05,-0.708594,28.647797,8.678122,420,10
2000-07-06,-0.8361802,29.753937,10.844505,420,10
2000-07-07,-0.97066665,28.97583,7.9222374,420,10
2000-07-08,-1.1071395,28.675354,8.378407,420,10
2000-07-09,-1.2082949,28.575104,8.839399,420,10
2000-07-10,-0.8585481,27.763428,6.799015,420,10
2000-07-11,-0.5951289,28.030273,7.3236675,420,10
2000-07-12,-0.55471665,28.574707,8.632912,420,10
2000-07-13,-0.60556024,29.41513,9.858561,420,10
2000-07-14,-0.7393105,29.17871,9.782322,420,10
2000-07-15,-0.87663025,29.352448,10.267103,420,10
2000-07-16,-1.0217154,29.283936,9.357634,420,10
2000-07-17,-1.1472127,29.648712,9.638887,420,10
2000-07-18,-1.2633672,29.242157,10.164181,420,10
2000-07-19,-1.4010993,29.344238,8.954311,420,10
2000-07-20,-1.5046206,28.515167,7.146282,420,10
2000-07-21,-1.4100327,28.796692,7.66996,420,10
2000-07-22,-1.4227899,28.96228,8.341829,420,10
2000-07-23,-1.5460206,28.864502,8.562904,420,10
2000-07-24,-1.6756066,28.887787,8.127586,420,10
2000-07-25,-1.8069501,28.801086,7.9736137,420,10
2000-07-26,-1.2849481,28.72403,8.433075,420,10
2000-07-27,-0.99024546,29.085632,8.367596,420,10
2000-07-28,-1.0812597,28.623291,8.513699,420,10
2000-07-29,-0.8060441,27.679901,7.0573654,420,10
2000-07-30,-0.66134465,29.01764,9.222815,420,10
2000-07-31,-0.79853487,29.143616,9.588543,420,10
2000-08-01,-0.93385464,27.997772,8.488892,420,10
2000-08-02,-1.0472844,28.711365,8.885309,420,10
2000-08-03,-1.0387952,28.360046,7.54858,420,10
2000-08-04,-0.82639736,28.256958,7.665354,420,10
2000-08-05,-0.6240363,28.578705,6.59478,420,10
2000-08-06,-0.5039487,28.151215,6.549814,420,10
2000-08-07,-0.5786534,29.089905,9.473667,420,10
2000-08-08,-0.62667346,28.577606,8.193838,420,10
2000-08-09,-0.65403044,28.236298,7.811651,420,10
2000-08-10,-0.74101305,29.34378,10.218746,420,10
2000-08-11,-0.8108622,28.44162,8.121565,420,10
2000-08-12,-0.81332487,28.435211,9.673159,420,10
2000-08-13,-0.87330663,28.89746,9.909288,420,10
2000-08-14,-0.98138076,28.909882,9.003752,420,10
2000-08-15,-0.87042063,27.954926,8.768099,420,10
2000-08-16,-0.6929189,27.999695,8.114601,420,10
2000-08-17,-0.68785626,27.734802,8.48184,420,10
2000-08-18,-0.60495615,28.434479,9.502993,420,10
2000-08-19,-0.61205196,28.559937,8.602844,420,10
2000-08-20,-0.60582536,27.89618,7.5761395,420,10
2000-08-21,-0.5577733,28.122437,7.231884,420,10
2000-08-22,-0.6480591,28.029663,6.8283634,420,10
2000-08-23,-0.7353928,28.78543,7.8923473,420,10
2000-08-24,-0.8334235,28.7099,8.538109,420,10
2000-08-25,-0.661069,28.729797,8.8458,420,10
2000-08-26,-0.5658594,28.003479,6.8149204,420,10
2000-08-27,-0.6618748,28.761993,9.16824,420,10
2000-08-28,-0.77674073,28.50879,7.5222015,420,10
2000-08-29,-0.8680499,27.484802,7.881296,420,10
2000-08-30,-0.7791196,27.771484,6.5033016,420,10
2000-08-31,-0.6785489,28.10794,7.405287,420,10
2000-09-01,-0.7770817,29.448456,8.446774,420,10
2000-09-02,-0.8891441,29.235077,9.20072,420,10
2000-09-03,-0.9915607,29.35733,8.74044,420,10
2000-09-04,-1.0833424,28.452148,7.4283524,420,10
2000-09-05,-1.0270299,28.31195,6.1541023,420,10
2000-09-06,-0.8127833,29.152771,6.773201,420,10
2000-09-07,-0.70532,28.803589,5.303486,420,10
2000-09-08,-0.66074634,28.572296,6.1922417,420,10
2000-09-09,-0.6420681,28.36322,6.317009,420,10
2000-09-10,-0.63514906,28.179901,6.835335,420,10
2000-09-11,-0.6190659,28.21997,7.3132935,420,10
2000-09-12,-0.700019,28.311584,6.9680862,420,10
2000-09-13,-0.6402035,28.111053,5.5093575,420,10
2000-09-14,-0.68012387,28.478577,8.181305,420,10
2000-09-15,-0.77033246,28.647064,6.4252586,420,10
2000-09-16,-0.85612595,28.61084,6.8343735,420,10
2000-09-17,-0.9445537,28.620728,7.3669624,420,10
2000-09-18,-0.9148576,28.526062,5.8726463,420,10
2000-09-19,-0.7698488,28.269897,5.888134,420,10
2000-09-20,-0.68158096,28.30304,4.690529,420,10
2000-09-21,-0.55875075,28.03476,5.7863846,420,10
2000-09-22,-0.5628728,28.005585,6.9351883,420,10
2000-09-23,-0.64691037,27.480103,5.62405,420,10
2000-09-24,-0.7133122,28.39621,7.342802,420,10
2000-09-25,-0.8082555,28.579498,7.2680664,420,10
2000-09-26,-0.8119279,28.538025,5.862442,420,10
2000-09-27,-0.62326413,27.531952,6.0810204,420,10
2000-09-28,-0.59023887,27.343079,9.258036,420,10
2000-09-29,-0.51809233,27.252502,5.016985,420,10
2000-09-30,-0.44739845,27.0943,5.3139973,420,10
2000-10-01,-0.47246116,26.837555,6.702654,420,10
