tas_anomaly,model,scenario,year,month
0.43388987,E3SM-1-1,ssp245,1859,1
-0.6955657,E3SM-1-1,ssp245,1859,2
-0.97739553,E3SM-1-1,ssp245,1859,3
-1.4775176,E3SM-1-1,ssp245,1859,4
1.5204988,E3SM-1-1,ssp245,1859,5
1.2842622,E3SM-1-1,ssp245,1859,6
0.5737214,E3SM-1-1,ssp245,1859,7
-1.2562041,E3SM-1-1,ssp245,1859,8
-2.7962432,E3SM-1-1,ssp245,1859,9
-1.4078765,E3SM-1-1,ssp245,1859,10
0.38121653,E3SM-1-1,ssp245,1859,11
-2.4679656,E3SM-1-1,ssp245,1859,12
-0.0100188255,E3SM-1-1,ssp245,1860,1
1.3071809,E3SM-1-1,ssp245,1860,2
-1.8679595,E3SM-1-1,ssp245,1860,3
-0.58051443,E3SM-1-1,ssp245,1860,4
1.2850251,E3SM-1-1,ssp245,1860,5
0.36455393,E3SM-1-1,ssp245,1860,6
-1.5593657,E3SM-1-1,ssp245,1860,7
-1.6987395,E3SM-1-1,ssp245,1860,8
-1.7625823,E3SM-1-1,ssp245,1860,9
-0.17353201,E3SM-1-1,ssp245,1860,10
-1.7888274,E3SM-1-1,ssp245,1860,11
-3.1884246,E3SM-1-1,ssp245,1860,12
-0.9509368,E3SM-1-1,ssp245,1861,1
-0.26133108,E3SM-1-1,ssp245,1861,2
-0.45273733,E3SM-1-1,ssp245,1861,3
-2.1314483,E3SM-1-1,ssp245,1861,4
-1.8665862,E3SM-1-1,ssp245,1861,5
-1.7594695,E3SM-1-1,ssp245,1861,6
-2.4870696,E3SM-1-1,ssp245,1861,7
-0.74476004,E3SM-1-1,ssp245,1861,8
-2.6120696,E3SM-1-1,ssp245,1861,9
-3.2566924,E3SM-1-1,ssp245,1861,10
-0.4898467,E3SM-1-1,ssp245,1861,11
-3.4127593,E3SM-1-1,ssp245,1861,12
-2.6225677,E3SM-1-1,ssp245,1862,1
-1.4502044,E3SM-1-1,ssp245,1862,2
-6.354013,E3SM-1-1,ssp245,1862,3
-2.9017425,E3SM-1-1,ssp245,1862,4
-1.1528716,E3SM-1-1,ssp245,1862,5
-1.1023345,E3SM-1-1,ssp245,1862,6
-2.7746062,E3SM-1-1,ssp245,1862,7
-2.7186675,E3SM-1-1,ssp245,1862,8
-1.001596,E3SM-1-1,ssp245,1862,9
0.6407075,E3SM-1-1,ssp245,1862,10
-3.4272552,E3SM-1-1,ssp245,1862,11
1.059958,E3SM-1-1,ssp245,1862,12
