tas_anomaly,model,scenario,year,month
0.40104818,E3SM-1-1,ssp245,1858,12
-1.2742448,E3SM-1-1,ssp245,1859,1
-1.098372,E3SM-1-1,ssp245,1859,2
-2.6445756,E3SM-1-1,ssp245,1859,3
-0.18717813,E3SM-1-1,ssp245,1859,4
-1.8633561,E3SM-1-1,ssp245,1859,5
-2.2200456,E3SM-1-1,ssp245,1859,6
-1.3885636,E3SM-1-1,ssp245,1859,7
-0.20710611,E3SM-1-1,ssp245,1859,8
-0.086500645,E3SM-1-1,ssp245,1859,9
-3.406508,E3SM-1-1,ssp245,1859,10
-5.269728,E3SM-1-1,ssp245,1859,11
-1.9196305,E3SM-1-1,ssp245,1859,12
-1.1668229,E3SM-1-1,ssp245,1860,1
-1.1740556,E3SM-1-1,ssp245,1860,2
-2.6615434,E3SM-1-1,ssp245,1860,3
-3.7142777,E3SM-1-1,ssp245,1860,4
-5.225447,E3SM-1-1,ssp245,1860,5
-1.9960771,E3SM-1-1,ssp245,1860,6
-2.5304093,E3SM-1-1,ssp245,1860,7
-1.2523026,E3SM-1-1,ssp245,1860,8
-0.21861124,E3SM-1-1,ssp245,1860,9
-1.0552506,E3SM-1-1,ssp245,1860,10
-2.3232255,E3SM-1-1,ssp245,1860,11
-2.8617082,E3SM-1-1,ssp245,1860,12
-1.7757401,E3SM-1-1,ssp245,1861,1
-5.437117,E3SM-1-1,ssp245,1861,2
-3.0718522,E3SM-1-1,ssp245,1861,3
-3.697493,E3SM-1-1,ssp245,1861,4
-1.1673112,E3SM-1-1,ssp245,1861,5
-0.8608842,E3SM-1-1,ssp245,1861,6
-2.4183183,E3SM-1-1,ssp245,1861,7
-1.221663,E3SM-1-1,ssp245,1861,8
-3.6545548,E3SM-1-1,ssp245,1861,9
-2.0284867,E3SM-1-1,ssp245,1861,10
-1.1645951,E3SM-1-1,ssp245,1861,11
-2.0310807,E3SM-1-1,ssp245,1861,12
-1.081923,E3SM-1-1,ssp245,1862,1
-2.700087,E3SM-1-1,ssp245,1862,2
-2.013228,E3SM-1-1,ssp245,1862,3
-4.366286,E3SM-1-1,ssp245,1862,4
-1.3071427,E3SM-1-1,ssp245,1862,5
-2.3177323,E3SM-1-1,ssp245,1862,6
-2.9711442,E3SM-1-1,ssp245,1862,7
-2.5116715,E3SM-1-1,ssp245,1862,8
-3.13304,E3SM-1-1,ssp245,1862,9
-0.77659464,E3SM-1-1,ssp245,1862,10
0.07985067,E3SM-1-1,ssp245,1862,11
-2.771132,E3SM-1-1,ssp245,1862,12
-2.409224,E3SM-1-1,ssp245,1863,1
-2.3661332,E3SM-1-1,ssp245,1863,2
-1.2516313,E3SM-1-1,ssp245,1863,3
-0.80268717,E3SM-1-1,ssp245,1863,4
-1.7146134,E3SM-1-1,ssp245,1863,5
-3.758925,E3SM-1-1,ssp245,1863,6
0.063340664,E3SM-1-1,ssp245,1863,7
-0.9334245,E3SM-1-1,ssp245,1863,8
-2.3946671,E3SM-1-1,ssp245,1863,9
-3.9600968,E3SM-1-1,ssp245,1863,10
-2.215468,E3SM-1-1,ssp245,1863,11
-0.30686808,E3SM-1-1,ssp245,1863,12
-4.733504,E3SM-1-1,ssp245,1864,1
-2.231093,E3SM-1-1,ssp245,1864,2
-1.1127458,E3SM-1-1,ssp245,1864,3
-2.7782426,E3SM-1-1,ssp245,1864,4
-3.0715775,E3SM-1-1,ssp245,1864,5
-1.8826432,E3SM-1-1,ssp245,1864,6
-0.84272623,E3SM-1-1,ssp245,1864,7
-2.1583695,E3SM-1-1,ssp245,1864,8
-1.9533525,E3SM-1-1,ssp245,1864,9
-3.4773393,E3SM-1-1,ssp245,1864,10
-3.2185807,E3SM-1-1,ssp245,1864,11
-1.8226457,E3SM-1-1,ssp245,1864,12
-1.152266,E3SM-1-1,ssp245,1865,1
-1.0473466,E3SM-1-1,ssp245,1865,2
-2.043013,E3SM-1-1,ssp245,1865,3
-0.067457676,E3SM-1-1,ssp245,1865,4
-0.8523698,E3SM-1-1,ssp245,1865,5
-0.56602335,E3SM-1-1,ssp245,1865,6
-2.1261735,E3SM-1-1,ssp245,1865,7
-1.6886125,E3SM-1-1,ssp245,1865,8
-1.213942,E3SM-1-1,ssp245,1865,9
-1.9848771,E3SM-1-1,ssp245,1865,10
-1.8048844,E3SM-1-1,ssp245,1865,11
-1.3376908,E3SM-1-1,ssp245,1865,12
-1.5743241,E3SM-1-1,ssp245,1866,1
-2.050551,E3SM-1-1,ssp245,1866,2
-0.91548014,E3SM-1-1,ssp245,1866,3
-2.809279,E3SM-1-1,ssp245,1866,4
-3.4409623,E3SM-1-1,ssp245,1866,5
0.104539394,E3SM-1-1,ssp245,1866,6
-2.4919572,E3SM-1-1,ssp245,1866,7
0.34868002,E3SM-1-1,ssp245,1866,8
-0.3159318,E3SM-1-1,ssp245,1866,9
-1.8711381,E3SM-1-1,ssp245,1866,10
-1.4676042,E3SM-1-1,ssp245,1866,11
-1.0305009,E3SM-1-1,ssp245,1866,12
-1.6404862,E3SM-1-1,ssp245,1867,1
-1.8101335,E3SM-1-1,ssp245,1867,2
-2.9062943,E3SM-1-1,ssp245,1867,3
-2.022841,E3SM-1-1,ssp245,1867,4
-1.7923417,E3SM-1-1,ssp245,1867,5
-1.5231767,E3SM-1-1,ssp245,1867,6
-0.49351358,E3SM-1-1,ssp245,1867,7
-3.5075822,E3SM-1-1,ssp245,1867,8
-0.631392,E3SM-1-1,ssp245,1867,9
-1.4449296,E3SM-1-1,ssp245,1867,10
-0.55283976,E3SM-1-1,ssp245,1867,11
0.5730758,E3SM-1-1,ssp245,1867,12
-0.046431065,E3SM-1-1,ssp245,1868,1
1.0063338,E3SM-1-1,ssp245,1868,2
0.14405966,E3SM-1-1,ssp245,1868,3
-1.743422,E3SM-1-1,ssp245,1868,4
-1.5861039,E3SM-1-1,ssp245,1868,5
-1.1136918,E3SM-1-1,ssp245,1868,6
-1.3755937,E3SM-1-1,ssp245,1868,7
-1.8126054,E3SM-1-1,ssp245,1868,8
-3.2285905,E3SM-1-1,ssp245,1868,9
-3.2470536,E3SM-1-1,ssp245,1868,10
-1.2914262,E3SM-1-1,ssp245,1868,11
-2.7793107,E3SM-1-1,ssp245,1868,12
-1.770308,E3SM-1-1,ssp245,1869,1
-6.481276,E3SM-1-1,ssp245,1869,2
-2.749251,E3SM-1-1,ssp245,1869,3
-4.9161515,E3SM-1-1,ssp245,1869,4
0.91276693,E3SM-1-1,ssp245,1869,5
-0.16563272,E3SM-1-1,ssp245,1869,6
-2.036055,E3SM-1-1,ssp245,1869,7
-2.930983,E3SM-1-1,ssp245,1869,8
-3.7349687,E3SM-1-1,ssp245,1869,9
-1.9206986,E3SM-1-1,ssp245,1869,10
-3.2863908,E3SM-1-1,ssp245,1869,11
-3.218886,E3SM-1-1,ssp245,1869,12
-3.8088822,E3SM-1-1,ssp245,1870,1
-1.5379777,E3SM-1-1,ssp245,1870,2
-2.6745133,E3SM-1-1,ssp245,1870,3
-2.6972795,E3SM-1-1,ssp245,1870,4
-4.2791886,E3SM-1-1,ssp245,1870,5
-1.5351396,E3SM-1-1,ssp245,1870,6
-4.0641007,E3SM-1-1,ssp245,1870,7
-2.7246232,E3SM-1-1,ssp245,1870,8
-3.2342362,E3SM-1-1,ssp245,1870,9
0.044267178,E3SM-1-1,ssp245,1870,10
-0.45820475,E3SM-1-1,ssp245,1870,11
-2.3982072,E3SM-1-1,ssp245,1870,12
-1.7671342,E3SM-1-1,ssp245,1871,1
1.901506,E3SM-1-1,ssp245,1871,2
-2.6929154,E3SM-1-1,ssp245,1871,3
-0.48255777,E3SM-1-1,ssp245,1871,4
-3.7378983,E3SM-1-1,ssp245,1871,5
-4.6919084,E3SM-1-1,ssp245,1871,6
0.4069686,E3SM-1-1,ssp245,1871,7
-2.5677629,E3SM-1-1,ssp245,1871,8
-0.83979654,E3SM-1-1,ssp245,1871,9
-0.9553971,E3SM-1-1,ssp245,1871,10
-2.562819,E3SM-1-1,ssp245,1871,11
-1.1787858,E3SM-1-1,ssp245,1871,12
-1.3794999,E3SM-1-1,ssp245,1872,1
-2.994063,E3SM-1-1,ssp245,1872,2
-2.3964982,E3SM-1-1,ssp245,1872,3
-1.4353166,E3SM-1-1,ssp245,1872,4
-0.6346879,E3SM-1-1,ssp245,1872,5
-1.4467912,E3SM-1-1,ssp245,1872,6
-2.1600175,E3SM-1-1,ssp245,1872,7
-1.9004045,E3SM-1-1,ssp245,1872,8
-3.9623246,E3SM-1-1,ssp245,1872,9
-0.91969156,E3SM-1-1,ssp245,1872,10
-2.188643,E3SM-1-1,ssp245,1872,11
-4.457228,E3SM-1-1,ssp245,1872,12
-2.7953324,E3SM-1-1,ssp245,1873,1
-0.5769181,E3SM-1-1,ssp245,1873,2
-1.7810807,E3SM-1-1,ssp245,1873,3
-2.1253495,E3SM-1-1,ssp245,1873,4
-1.9619889,E3SM-1-1,ssp245,1873,5
-2.767714,E3SM-1-1,ssp245,1873,6
-3.4586015,E3SM-1-1,ssp245,1873,7
-2.4286942,E3SM-1-1,ssp245,1873,8
-4.137648,E3SM-1-1,ssp245,1873,9
-3.1102128,E3SM-1-1,ssp245,1873,10
-1.2906327,E3SM-1-1,ssp245,1873,11
-2.3502946,E3SM-1-1,ssp245,1873,12
-1.3095536,E3SM-1-1,ssp245,1874,1
-1.647902,E3SM-1-1,ssp245,1874,2
-1.946425,E3SM-1-1,ssp245,1874,3
-0.5609269,E3SM-1-1,ssp245,1874,4
-4.36772,E3SM-1-1,ssp245,1874,5
-2.0806413,E3SM-1-1,ssp245,1874,6
-2.1537614,E3SM-1-1,ssp245,1874,7
-0.9645524,E3SM-1-1,ssp245,1874,8
-3.8088822,E3SM-1-1,ssp245,1874,9
0.5111251,E3SM-1-1,ssp245,1874,10
-0.8134599,E3SM-1-1,ssp245,1874,11
0.3741927,E3SM-1-1,ssp245,1874,12
-0.92295694,E3SM-1-1,ssp245,1875,1
0.75410604,E3SM-1-1,ssp245,1875,2
-1.4614701,E3SM-1-1,ssp245,1875,3
-3.3528886,E3SM-1-1,ssp245,1875,4
-3.4407792,E3SM-1-1,ssp245,1875,5
-0.7275224,E3SM-1-1,ssp245,1875,6
-4.481978,E3SM-1-1,ssp245,1875,7
-3.102553,E3SM-1-1,ssp245,1875,8
-3.5322404,E3SM-1-1,ssp245,1875,9
-2.2282548,E3SM-1-1,ssp245,1875,10
-1.6246781,E3SM-1-1,ssp245,1875,11
-2.6438737,E3SM-1-1,ssp245,1875,12
-1.6564775,E3SM-1-1,ssp245,1876,1
-2.410109,E3SM-1-1,ssp245,1876,2
0.79298544,E3SM-1-1,ssp245,1876,3
0.37080526,E3SM-1-1,ssp245,1876,4
-3.2619767,E3SM-1-1,ssp245,1876,5
-2.0691972,E3SM-1-1,ssp245,1876,6
-1.6819291,E3SM-1-1,ssp245,1876,7
-1.5610795,E3SM-1-1,ssp245,1876,8
-2.5589433,E3SM-1-1,ssp245,1876,9
0.090531826,E3SM-1-1,ssp245,1876,10
-1.8338761,E3SM-1-1,ssp245,1876,11
-3.968184,E3SM-1-1,ssp245,1876,12
-6.938765,E3SM-1-1,ssp245,1877,1
-4.86653,E3SM-1-1,ssp245,1877,2
-1.9879289,E3SM-1-1,ssp245,1877,3
-1.1595902,E3SM-1-1,ssp245,1877,4
-3.9829545,E3SM-1-1,ssp245,1877,5
-1.5249162,E3SM-1-1,ssp245,1877,6
-0.9457841,E3SM-1-1,ssp245,1877,7
-0.9573808,E3SM-1-1,ssp245,1877,8
-1.7191911,E3SM-1-1,ssp245,1877,9
-1.2486405,E3SM-1-1,ssp245,1877,10
-5.1292863,E3SM-1-1,ssp245,1877,11
-1.7902055,E3SM-1-1,ssp245,1877,12
-2.2545,E3SM-1-1,ssp245,1878,1
-4.293013,E3SM-1-1,ssp245,1878,2
-0.35053873,E3SM-1-1,ssp245,1878,3
0.85774374,E3SM-1-1,ssp245,1878,4
-0.19352579,E3SM-1-1,ssp245,1878,5
-2.631392,E3SM-1-1,ssp245,1878,6
-3.331099,E3SM-1-1,ssp245,1878,7
-3.212172,E3SM-1-1,ssp245,1878,8
-1.1479325,E3SM-1-1,ssp245,1878,9
-1.4889665,E3SM-1-1,ssp245,1878,10
-2.2068925,E3SM-1-1,ssp245,1878,11
-2.1873612,E3SM-1-1,ssp245,1878,12
-1.6604447,E3SM-1-1,ssp245,1879,1
-2.8390946,E3SM-1-1,ssp245,1879,2
-1.2500443,E3SM-1-1,ssp245,1879,3
-1.2307572,E3SM-1-1,ssp245,1879,4
