tas_anomaly,model,scenario,year,month
-0.9885483,E3SM-1-1,ssp245,1858,12
-1.1902695,E3SM-1-1,ssp245,1859,1
-1.3507614,E3SM-1-1,ssp245,1859,2
-1.658287,E3SM-1-1,ssp245,1859,3
-1.3602219,E3SM-1-1,ssp245,1859,4
-1.9345016,E3SM-1-1,ssp245,1859,5
-2.494011,E3SM-1-1,ssp245,1859,6
-1.4986801,E3SM-1-1,ssp245,1859,7
-1.5978622,E3SM-1-1,ssp245,1859,8
-1.1749802,E3SM-1-1,ssp245,1859,9
0.21195221,E3SM-1-1,ssp245,1859,10
0.5618057,E3SM-1-1,ssp245,1859,11
-0.89144135,E3SM-1-1,ssp245,1859,12
0.37595367,E3SM-1-1,ssp245,1860,1
-0.4521103,E3SM-1-1,ssp245,1860,2
-0.40651703,E3SM-1-1,ssp245,1860,3
-0.4080124,E3SM-1-1,ssp245,1860,4
-1.3241501,E3SM-1-1,ssp245,1860,5
-1.9601974,E3SM-1-1,ssp245,1860,6
-0.9920578,E3SM-1-1,ssp245,1860,7
-0.9160385,E3SM-1-1,ssp245,1860,8
-0.4287033,E3SM-1-1,ssp245,1860,9
-0.38689423,E3SM-1-1,ssp245,1860,10
-1.3302231,E3SM-1-1,ssp245,1860,11
-1.2777328,E3SM-1-1,ssp245,1860,12
-1.4051743,E3SM-1-1,ssp245,1861,1
-2.4355698,E3SM-1-1,ssp245,1861,2
-2.1527634,E3SM-1-1,ssp245,1861,3
-2.033104,E3SM-1-1,ssp245,1861,4
-2.3156052,E3SM-1-1,ssp245,1861,5
-1.682579,E3SM-1-1,ssp245,1861,6
-1.4468002,E3SM-1-1,ssp245,1861,7
-1.4869614,E3SM-1-1,ssp245,1861,8
-0.8583298,E3SM-1-1,ssp245,1861,9
-1.4718552,E3SM-1-1,ssp245,1861,10
-1.5398788,E3SM-1-1,ssp245,1861,11
-2.4820786,E3SM-1-1,ssp245,1861,12
-2.466362,E3SM-1-1,ssp245,1862,1
-3.1525497,E3SM-1-1,ssp245,1862,2
-2.9476242,E3SM-1-1,ssp245,1862,3
-2.6054916,E3SM-1-1,ssp245,1862,4
-1.9730453,E3SM-1-1,ssp245,1862,5
-1.7797165,E3SM-1-1,ssp245,1862,6
-1.8555527,E3SM-1-1,ssp245,1862,7
-1.7289352,E3SM-1-1,ssp245,1862,8
-1.8862534,E3SM-1-1,ssp245,1862,9
-0.90895844,E3SM-1-1,ssp245,1862,10
-1.738121,E3SM-1-1,ssp245,1862,11
-1.3198471,E3SM-1-1,ssp245,1862,12
-1.0839462,E3SM-1-1,ssp245,1863,1
-2.0252304,E3SM-1-1,ssp245,1863,2
-1.0138168,E3SM-1-1,ssp245,1863,3
-1.896141,E3SM-1-1,ssp245,1863,4
-1.3301926,E3SM-1-1,ssp245,1863,5
-2.1506882,E3SM-1-1,ssp245,1863,6
-1.6717758,E3SM-1-1,ssp245,1863,7
-1.5605087,E3SM-1-1,ssp245,1863,8
-1.5978928,E3SM-1-1,ssp245,1863,9
-1.2883224,E3SM-1-1,ssp245,1863,10
