time,psis,tair,D,Ca,al
2000-04-02,-0.053481773,7.193695,2.0351553,420,10
2000-04-03,-0.06285734,4.8642273,1.1394362,420,10
2000-04-04,-0.06925176,7.9875183,0.89140034,420,10
2000-04-05,-0.07465122,5.0188293,1.706944,420,10
2000-04-06,-0.07970063,5.8109436,1.4979401,420,10
2000-04-07,-0.08240142,6.586975,1.5542774,420,10
2000-04-08,-0.082435496,10.998779,1.4289446,420,10
2000-04-09,-0.07973919,6.544525,1.7002964,420,10
2000-04-10,-0.08006813,9.654968,1.7421675,420,10
2000-04-11,-0.08397991,2.7759094,1.8149581,420,10
2000-04-12,-0.08650629,6.6733093,1.9655223,420,10
2000-04-13,-0.08880028,0.9808655,2.0561423,420,10
2000-04-14,-0.080663994,6.641266,1.139761,420,10
2000-04-15,-0.076447375,6.635376,1.1313753,420,10
2000-04-16,-0.07713446,11.08963,1.0196676,420,10
2000-04-17,-0.0786674,7.3260803,1.4074869,420,10
2000-04-18,-0.08150691,4.5178833,1.2267752,420,10
2000-04-19,-0.084305026,5.9911194,2.343093,420,10
2000-04-20,-0.083676025,7.877014,1.4238167,420,10
2000-04-21,-0.08444714,6.9250793,2.3366346,420,10
2000-04-22,-0.06974615,7.5433655,0.49948978,420,10
2000-04-23,-0.063352495,8.223602,1.2383556,420,10
2000-04-24,-0.06927262,7.2854614,1.4413328,420,10
2000-04-25,-0.074611254,5.6636047,2.2554765,420,10
2000-04-26,-0.07887588,4.4962463,1.1863084,420,10
2000-04-27,-0.07325327,7.720459,1.1414509,420,10
2000-04-28,-0.07176482,6.922638,1.3671436,420,10
2000-04-29,-0.07565283,8.084869,1.511054,420,10
2000-04-30,-0.07861614,6.5049133,1.9631796,420,10
2000-05-01,-0.08151494,9.05246,1.6030521,420,10
2000-05-02,-0.08457056,11.148712,3.3145828,420,10
2000-05-03,-0.08725193,12.963715,1.4563627,420,10
2000-05-04,-0.08467779,14.930054,0.9533653,420,10
2000-05-05,-0.08453908,16.309479,2.892315,420,10
2000-05-06,-0.08689179,12.946075,2.2060938,420,10
2000-05-07,-0.086656,12.0329895,1.7573729,420,10
2000-05-08,-0.08577608,15.900055,2.3524141,420,10
2000-05-09,-0.08494387,16.011932,1.9982815,420,10
2000-05-10,-0.08567862,13.211975,0.93378735,420,10
2000-05-11,-0.083716795,12.4375305,0.8970413,420,10
2000-05-12,-0.08428343,14.50293,2.1011343,420,10
2000-05-13,-0.08696842,15.100067,0.7269764,420,10
2000-05-14,-0.088927075,12.047607,2.1938667,420,10
2000-05-15,-0.09040299,13.114777,3.2146072,420,10
2000-05-16,-0.09241817,8.543823,2.808033,420,10
2000-05-17,-0.08566385,13.682678,1.470849,420,10
2000-05-18,-0.08364976,13.35495,2.2382393,420,10
2000-05-19,-0.08744784,9.442841,1.9879217,420,10
2000-05-20,-0.08830073,11.044617,0.4705677,420,10
2000-05-21,-0.08892737,11.584778,1.6222115,420,10
2000-05-22,-0.09111592,11.803528,1.9676695,420,10
2000-05-23,-0.0934296,11.798309,1.8802433,420,10
2000-05-24,-0.07388121,13.949463,0.3032093,420,10
2000-05-25,-0.06518644,14.418549,1.6078644,420,10
2000-05-26,-0.072730236,13.531982,2.7434483,420,10
2000-05-27,-0.079013735,13.375336,2.6273232,420,10
2000-05-28,-0.084269,15.880554,2.0917377,420,10
2000-05-29,-0.06628963,16.41092,1.6273403,420,10
2000-05-30,-0.05930384,14.368103,1.6937656,420,10
2000-05-31,-0.06827116,13.202545,1.332345,420,10
2000-06-01,-0.075209655,17.257599,1.8785896,420,10
2000-06-02,-0.07219134,17.097198,3.5017624,420,10
2000-06-03,-0.07329522,16.347656,3.350296,420,10
2000-06-04,-0.07965455,14.108582,2.633194,420,10
2000-06-05,-0.08361991,15.845734,2.9427042,420,10
2000-06-06,-0.07272943,13.570435,2.8101578,420,10
2000-06-07,-0.056757476,13.64563,2.5219316,420,10
2000-06-08,-0.05757705,16.693542,3.563055,420,10
2000-06-09,-0.048851214,16.56311,2.1125412,420,10
2000-06-10,-0.045911666,21.31897,4.041954,420,10
