model,scenario,time,future_tair,psis,Ca,al,D
NorESM2-MM,ssp585,2000-01,15.985869338709676,-0.42590493451612904,420.0,10.0,2718.1318194814503
NorESM2-MM,ssp585,2000-02,14.181290393103449,-0.14676673868965515,420.0,10.0,1799.2849580768736
NorESM2-MM,ssp585,2000-03,11.219207533548387,-0.07682838664516128,420.0,10.0,2584.8021339630577
NorESM2-MM,ssp585,2000-04,16.004197716666667,-0.09593915830000001,420.0,10.0,4176.840469487823
NorESM2-MM,ssp585,2000-05,17.82056920967742,-0.1352905989032258,420.0,10.0,5558.368712943246
NorESM2-MM,ssp585,2000-06,16.856790723333333,-0.224929573,420.0,10.0,5090.929247903787
NorESM2-MM,ssp585,2000-07,17.540892332258064,-0.31017887354838714,420.0,10.0,5863.2852483028355
NorESM2-MM,ssp585,2000-08,19.090270761290324,-0.4402379522580645,420.0,10.0,6905.690543160588
NorESM2-MM,ssp585,2000-09,20.805222033333337,-0.49479575433333334,420.0,10.0,5935.498967781349
NorESM2-MM,ssp585,2000-10,21.017337935483873,-0.39959390741935485,420.0,10.0,4320.527080317857
NorESM2-MM,ssp585,2000-11,13.644147216666665,-0.45790008600000004,420.0,10.0,3850.7995016461546
NorESM2-MM,ssp585,2000-12,16.15593372903226,-0.48477100064516127,420.0,10.0,4232.216951977354
NorESM2-MM,ssp585,2001-01,13.03719077096774,-0.2010939452903226,420.0,10.0,3101.3960089658913
NorESM2-MM,ssp585,2001-02,12.741021214285714,-0.11073245910714287,420.0,10.0,2301.382684793549
NorESM2-MM,ssp585,2001-03,15.06030164516129,-0.06893922151612902,420.0,10.0,2683.1040114702932
NorESM2-MM,ssp585,2001-04,12.945203133333333,-0.08124671623333332,420.0,10.0,3029.9707253082015
NorESM2-MM,ssp585,2001-05,17.499051751612903,-0.16041826096774192,420.0,10.0,6109.377058587447
NorESM2-MM,ssp585,2001-06,17.723812199999998,-0.26806421733333335,420.0,10.0,6767.7562844530175
NorESM2-MM,ssp585,2001-07,21.29776761935484,-0.35746258774193546,420.0,10.0,6948.631493227372
NorESM2-MM,ssp585,2001-08,19.54219283870968,-0.44860760516129033,420.0,10.0,6579.589505482253
NorESM2-MM,ssp585,2001-09,19.62237796666667,-0.5203402053333334,420.0,10.0,5659.905097262317
NorESM2-MM,ssp585,2001-10,20.57562038387097,-0.5489438083870968,420.0,10.0,5679.1053681611775
NorESM2-MM,ssp585,2001-11,15.9056899,-0.22843770666666666,420.0,10.0,2597.1311554526324
NorESM2-MM,ssp585,2001-12,13.100573774193549,-0.2355147012903226,420.0,10.0,2204.6908947241973
NorESM2-MM,ssp585,2002-01,14.152395661290322,-0.19312651225806451,420.0,10.0,3458.2403884919727
NorESM2-MM,ssp585,2002-02,13.723393035714286,-0.18737106035714285,420.0,10.0,3590.2280978803
NorESM2-MM,ssp585,2002-03,14.713706483870967,-0.2067296577419355,420.0,10.0,3114.5298534323438
NorESM2-MM,ssp585,2002-04,14.881193633333334,-0.2527962396666667,420.0,10.0,3094.946848359821
NorESM2-MM,ssp585,2002-05,17.614367790322582,-0.3324621677419355,420.0,10.0,5029.823260648161
NorESM2-MM,ssp585,2002-06,19.699198883333334,-0.409820557,420.0,10.0,6984.936003025445
