model,scenario,time,future_tair,psis,Ca,al,D
CanESM5,ssp585,2000-01,-2.9410402158064515,-0.09975414758064517,420.0,10.0,128.89375122282
CanESM5,ssp585,2000-02,3.3169152779310345,-0.09257146227586208,420.0,10.0,155.41709716498795
CanESM5,ssp585,2000-03,11.959954186322582,-0.08492594983870967,420.0,10.0,236.90271118826638
CanESM5,ssp585,2000-04,10.283763256666667,-0.07625598403333332,420.0,10.0,188.28365400914706
CanESM5,ssp585,2000-05,18.813706677419354,-0.0827967051935484,420.0,10.0,250.61513780436385
CanESM5,ssp585,2000-06,27.171770666666667,-0.0762524103,420.0,10.0,516.6347674948095
CanESM5,ssp585,2000-07,26.801620548387096,-0.09004294370967743,420.0,10.0,462.57030791978883
CanESM5,ssp585,2000-08,26.14736414516129,-0.09349655351612902,420.0,10.0,432.170080866704
CanESM5,ssp585,2000-09,19.82221451666667,-0.0924568137,420.0,10.0,407.251290150293
CanESM5,ssp585,2000-10,14.914791769354839,-0.09445515132258064,420.0,10.0,317.6036522527766
CanESM5,ssp585,2000-11,9.1477241602,-0.0853667096,420.0,10.0,208.64759946147882
CanESM5,ssp585,2000-12,0.8613163858064521,-0.08676039103225806,420.0,10.0,176.1506106075179
CanESM5,ssp585,2001-01,-3.2594448483870964,-0.08926453016129032,420.0,10.0,94.86643003056827
CanESM5,ssp585,2001-02,4.339917981428571,-0.08135847603571429,420.0,10.0,208.0936171854826
CanESM5,ssp585,2001-03,3.343226053677419,-0.07152977777419355,420.0,10.0,129.92073258695595
CanESM5,ssp585,2001-04,15.016999016666666,-0.07164308826666667,420.0,10.0,283.2824636519253
CanESM5,ssp585,2001-05,20.100621177419356,-0.08200279903225807,420.0,10.0,314.6031626002626
CanESM5,ssp585,2001-06,25.956470433333333,-0.09179128523333334,420.0,10.0,557.8216915519088
CanESM5,ssp585,2001-07,27.428537903225806,-0.10452913451612904,420.0,10.0,680.4108001467613
CanESM5,ssp585,2001-08,30.520196967741935,-0.1314781729354839,420.0,10.0,580.8194336964974
CanESM5,ssp585,2001-09,24.16529605,-0.11348272383333334,420.0,10.0,491.9878080817468
CanESM5,ssp585,2001-10,15.801321654838711,-0.12675066841935484,420.0,10.0,389.906268629772
CanESM5,ssp585,2001-11,10.409239443666667,-0.12370912313333333,420.0,10.0,221.55080409172712
CanESM5,ssp585,2001-12,7.946934744709677,-0.10601597545161291,420.0,10.0,181.0879105735205
CanESM5,ssp585,2002-01,5.025525354516129,-0.11392808835483871,420.0,10.0,152.0387928251553
CanESM5,ssp585,2002-02,2.617096351964286,-0.09895062196428571,420.0,10.0,133.26025502283989
CanESM5,ssp585,2002-03,8.340875367096775,-0.09291109903225805,420.0,10.0,165.43678089301852
CanESM5,ssp585,2002-04,13.75012353,-0.09283897483333334,420.0,10.0,245.43229754317832
CanESM5,ssp585,2002-05,20.47775248387097,-0.08192506783870968,420.0,10.0,371.19513473063023
CanESM5,ssp585,2002-06,25.712358066666667,-0.0892304657,420.0,10.0,366.06532901017533
CanESM5,ssp585,2002-07,30.912659322580645,-0.12259221432258065,420.0,10.0,726.4601794572648
CanESM5,ssp585,2002-08,27.72525308064516,-0.14353321741935485,420.0,10.0,584.6762311590353
CanESM5,ssp585,2002-09,25.3629789,-0.12224340633333333,420.0,10.0,490.9936267134404
CanESM5,ssp585,2002-10,15.358141406451614,-0.10981581103225806,420.0,10.0,312.1664076593214
CanESM5,ssp585,2002-11,10.159234083266666,-0.08574092583333333,420.0,10.0,164.38505305794857
CanESM5,ssp585,2002-12,2.026954555806452,-0.08505343774193548,420.0,10.0,133.9342598469595
CanESM5,ssp585,2003-01,-4.531124419354839,-0.09473297322580645,420.0,10.0,101.40728888862442
CanESM5,ssp585,2003-02,-1.9237121792857144,-0.09644537703571429,420.0,10.0,124.95303093363735
CanESM5,ssp585,2003-03,5.32351371,-0.08205252158064516,420.0,10.0,99.5372501671718
CanESM5,ssp585,2003-04,14.552229046666668,-0.07493610333333334,420.0,10.0,221.03515278640376
CanESM5,ssp585,2003-05,19.776499822580647,-0.07954148212903225,420.0,10.0,225.92538296623027
CanESM5,ssp585,2003-06,27.032607066666664,-0.0780049938,420.0,10.0,436.805474873918
CanESM5,ssp585,2003-07,30.83750551612903,-0.10192141348387097,420.0,10.0,568.4359622093989
CanESM5,ssp585,2003-08,30.502633290322578,-0.08323236832258064,420.0,10.0,444.1947214622066
CanESM5,ssp585,2003-09,24.619000783333334,-0.07580416113333334,420.0,10.0,342.00393761458344
CanESM5,ssp585,2003-10,15.524733822580647,-0.07463004261290324,420.0,10.0,303.6394355994581
CanESM5,ssp585,2003-11,11.141665408000001,-0.0709466392,420.0,10.0,202.80876639572628
CanESM5,ssp585,2003-12,7.048980971935484,-0.06230102787096774,420.0,10.0,183.31715399194806
CanESM5,ssp585,2004-01,-4.3770428500000005,-0.07123583729032258,420.0,10.0,132.99729590883345
