model,scenario,time,future_tair,psis,Ca,al,D
CanESM5,ssp585,2000-01,12.034250419354839,-0.037650471290322576,420.0,10.0,208.88934327217996
CanESM5,ssp585,2000-02,19.9587408,-0.03711491686206896,420.0,10.0,392.7015883692863
CanESM5,ssp585,2000-03,19.632395861290323,-0.036790525935483875,420.0,10.0,328.97471371949564
CanESM5,ssp585,2000-04,24.6256275,-0.02689620213333333,420.0,10.0,579.7550654868695
CanESM5,ssp585,2000-05,31.369469354838706,-0.053205277354838716,420.0,10.0,906.2253848051947
CanESM5,ssp585,2000-06,33.0638699,-0.0651940437,420.0,10.0,998.7893798635598
CanESM5,ssp585,2000-07,35.43351681935484,-0.08516951158064516,420.0,10.0,1553.9675748193458
CanESM5,ssp585,2000-08,34.46959743548387,-0.07730569783870968,420.0,10.0,1439.3700969665153
CanESM5,ssp585,2000-09,29.432226266666667,-0.08179185230000001,420.0,10.0,888.0102495210264
CanESM5,ssp585,2000-10,25.859936003225805,-0.09501639193548388,420.0,10.0,1208.7081412480168
CanESM5,ssp585,2000-11,19.363392866666665,-0.06221146103333333,420.0,10.0,420.2750904142085
CanESM5,ssp585,2000-12,8.936450433548387,-0.033407611387096775,420.0,10.0,204.65788029778795
CanESM5,ssp585,2001-01,7.052890730322581,-0.022084291967741938,420.0,10.0,149.5972914242316
CanESM5,ssp585,2001-02,17.07656347142857,-0.018121422999999998,420.0,10.0,235.19399087858636
CanESM5,ssp585,2001-03,15.874878751612904,-0.011903030322580646,420.0,10.0,351.2774790294968
CanESM5,ssp585,2001-04,27.101466700000003,-0.014966032466666666,420.0,10.0,770.930593036444
CanESM5,ssp585,2001-05,29.094691967741937,-0.03147214825806451,420.0,10.0,964.8648271373776
CanESM5,ssp585,2001-06,33.418521733333336,-0.029424434633333333,420.0,10.0,724.1392660845949
CanESM5,ssp585,2001-07,34.876709880645166,-0.03134837664516129,420.0,10.0,793.0025663452194
CanESM5,ssp585,2001-08,33.841066270967744,-0.029606833322580645,420.0,10.0,617.2264125401935
