model,scenario,time,future_tair,psis,Ca,al,D
NorESM2-MM,ssp585,2000-01,16.361452219354838,-0.037650471290322576,420.0,10.0,276.4952244034748
NorESM2-MM,ssp585,2000-02,11.829002800000001,-0.03711491686206896,420.0,10.0,233.50582218688348
NorESM2-MM,ssp585,2000-03,20.827578561290323,-0.036790525935483875,420.0,10.0,354.19031897679685
NorESM2-MM,ssp585,2000-04,17.402658100000004,-0.02689620213333333,420.0,10.0,372.00252969244104
NorESM2-MM,ssp585,2000-05,25.22944675483871,-0.053205277354838716,420.0,10.0,634.3103032003459
NorESM2-MM,ssp585,2000-06,29.5069164,-0.0651940437,420.0,10.0,816.040757114337
NorESM2-MM,ssp585,2000-07,31.52588571935484,-0.08516951158064516,420.0,10.0,1249.059121521624
NorESM2-MM,ssp585,2000-08,29.965408635483872,-0.07730569783870968,420.0,10.0,1116.3578086253526
NorESM2-MM,ssp585,2000-09,26.172452766666666,-0.08179185230000001,420.0,10.0,734.279679779066
NorESM2-MM,ssp585,2000-10,21.508640403225805,-0.09501639193548388,420.0,10.0,930.2775798669627
NorESM2-MM,ssp585,2000-11,16.268475566666666,-0.06221146103333333,420.0,10.0,345.8564455883852
NorESM2-MM,ssp585,2000-12,4.032756073548387,-0.033407611387096775,420.0,10.0,145.93511357174546
NorESM2-MM,ssp585,2001-01,5.003108780322581,-0.022084291967741938,420.0,10.0,129.80936219396892
NorESM2-MM,ssp585,2001-02,13.790300771428571,-0.018121422999999998,420.0,10.0,190.4814813238285
NorESM2-MM,ssp585,2001-03,12.875389751612904,-0.011903030322580646,420.0,10.0,289.31044225231096
NorESM2-MM,ssp585,2001-04,22.6626464,-0.014966032466666666,420.0,10.0,591.6656446723446
NorESM2-MM,ssp585,2001-05,24.994861067741937,-0.03147214825806451,420.0,10.0,758.6414124488854
NorESM2-MM,ssp585,2001-06,28.529414833333334,-0.029424434633333333,420.0,10.0,548.1587312338071
NorESM2-MM,ssp585,2001-07,30.745323780645162,-0.03134837664516129,420.0,10.0,628.7617211959796
NorESM2-MM,ssp585,2001-08,28.777032470967743,-0.029606833322580645,420.0,10.0,462.9286451549373
NorESM2-MM,ssp585,2001-09,26.030484933333334,-0.027555257266666668,420.0,10.0,468.6554601131373
NorESM2-MM,ssp585,2001-10,21.087156322580643,-0.03752912380645162,420.0,10.0,660.4619661028698
NorESM2-MM,ssp585,2001-11,18.938158153333333,-0.03650823536666667,420.0,10.0,491.170472665166
NorESM2-MM,ssp585,2001-12,13.913143861290322,-0.02927044664516129,420.0,10.0,201.56682897852644
NorESM2-MM,ssp585,2002-01,12.151772632258066,-0.01911602770967742,420.0,10.0,178.55135173427743
NorESM2-MM,ssp585,2002-02,13.323310030714286,-0.018862605982142854,420.0,10.0,347.3405849691561
NorESM2-MM,ssp585,2002-03,17.810565378064517,-0.015779126129032258,420.0,10.0,302.59776873244886
NorESM2-MM,ssp585,2002-04,24.309553333333334,-0.017962282950000002,420.0,10.0,478.30194395431175
NorESM2-MM,ssp585,2002-05,25.216272003225807,-0.03036208377419355,420.0,10.0,562.8875948470297
NorESM2-MM,ssp585,2002-06,29.731675533333334,-0.044795635566666665,420.0,10.0,613.0634797112169
NorESM2-MM,ssp585,2002-07,30.49492610967742,-0.030575105612903226,420.0,10.0,499.9794034028784
NorESM2-MM,ssp585,2002-08,28.182957761290325,-0.03764960335483871,420.0,10.0,428.7987548714117
NorESM2-MM,ssp585,2002-09,28.3519469,-0.0319649571,420.0,10.0,330.65132282915187
NorESM2-MM,ssp585,2002-10,25.74880393548387,-0.016196906516129032,420.0,10.0,304.3929061870678
NorESM2-MM,ssp585,2002-11,14.799778253333333,-0.015087685383333334,420.0,10.0,245.10191879421498
NorESM2-MM,ssp585,2002-12,10.524612780645162,-0.012299159161290322,420.0,10.0,164.13930911797988
NorESM2-MM,ssp585,2003-01,11.361954368064517,-0.011282699032258066,420.0,10.0,287.9941458299625
NorESM2-MM,ssp585,2003-02,13.379809128571427,-0.009286489996428572,420.0,10.0,154.545547925121
NorESM2-MM,ssp585,2003-03,20.40832840322581,-0.006271166364516129,420.0,10.0,268.72787555560683
NorESM2-MM,ssp585,2003-04,21.672445566666667,-0.008319937236666667,420.0,10.0,444.1924613942268
NorESM2-MM,ssp585,2003-05,26.816784045161288,-0.011743534467741937,420.0,10.0,452.4681268890775
NorESM2-MM,ssp585,2003-06,29.02165456666667,-0.012584419033333332,420.0,10.0,382.04219647406967
NorESM2-MM,ssp585,2003-07,29.365155622580644,-0.010346747725806451,420.0,10.0,412.45003122985753
NorESM2-MM,ssp585,2003-08,29.08653592903226,-0.011331560774193549,420.0,10.0,463.6158638723511
NorESM2-MM,ssp585,2003-09,27.168867,-0.013494356333333334,420.0,10.0,548.2222127628859
NorESM2-MM,ssp585,2003-10,18.621731582258064,-0.02260841870967742,420.0,10.0,481.1146820922414
NorESM2-MM,ssp585,2003-11,17.18640846666667,-0.023163724733333335,420.0,10.0,383.20650869845537
NorESM2-MM,ssp585,2003-12,8.18374233548387,-0.01955070906451613,420.0,10.0,178.76817544780897
NorESM2-MM,ssp585,2004-01,7.812874977419354,-0.016139554612903225,420.0,10.0,176.72833071003836
NorESM2-MM,ssp585,2004-02,9.122197806896553,-0.0101669365,420.0,10.0,140.48751075195722
NorESM2-MM,ssp585,2004-03,14.027992312903226,-0.011457504564516129,420.0,10.0,329.3311312119367
NorESM2-MM,ssp585,2004-04,18.784601916666666,-0.0159195214,420.0,10.0,495.8177951533611
NorESM2-MM,ssp585,2004-05,25.720104403225807,-0.019405556709677422,420.0,10.0,549.4579077144538
NorESM2-MM,ssp585,2004-06,29.010351433333334,-0.01761221871666667,420.0,10.0,448.24849753934797
NorESM2-MM,ssp585,2004-07,29.17715546451613,-0.016435247193548386,420.0,10.0,538.2176292271959
NorESM2-MM,ssp585,2004-08,27.591453212903225,-0.02366920441935484,420.0,10.0,637.7512185036343
NorESM2-MM,ssp585,2004-09,27.770236066666666,-0.03744302223333333,420.0,10.0,711.995081331259
NorESM2-MM,ssp585,2004-10,25.732620570967743,-0.04341724629032258,420.0,10.0,545.224556582009
NorESM2-MM,ssp585,2004-11,21.475752866666667,-0.034425491366666665,420.0,10.0,325.0675475114872
NorESM2-MM,ssp585,2004-12,13.824523984193549,-0.020253638,420.0,10.0,281.60239234553586
NorESM2-MM,ssp585,2005-01,19.91165039903226,-0.01788052041935484,420.0,10.0,317.98943500060625
NorESM2-MM,ssp585,2005-02,17.172938035714285,-0.014124757178571428,420.0,10.0,266.98112017369334
NorESM2-MM,ssp585,2005-03,17.554157945161293,-0.012483782064516129,420.0,10.0,308.35356290162616
NorESM2-MM,ssp585,2005-04,20.319207783333333,-0.01128994975,420.0,10.0,447.808553659037
NorESM2-MM,ssp585,2005-05,23.69908876451613,-0.016110284822580645,420.0,10.0,646.8676891816588
NorESM2-MM,ssp585,2005-06,27.10288806666667,-0.030624739100000003,420.0,10.0,605.1104571419061
NorESM2-MM,ssp585,2005-07,29.9276683,-0.025553399967741936,420.0,10.0,431.4506532617929
NorESM2-MM,ssp585,2005-08,31.189816193548385,-0.020470949258064516,420.0,10.0,514.7269097242053
NorESM2-MM,ssp585,2005-09,28.528822933333334,-0.03364298226666666,420.0,10.0,705.060689787574
NorESM2-MM,ssp585,2005-10,22.47056258064516,-0.0595686820967742,420.0,10.0,740.2432977510947
NorESM2-MM,ssp585,2005-11,21.67214601,-0.0567534072,420.0,10.0,628.2345976289688
NorESM2-MM,ssp585,2005-12,12.78442889548387,-0.04102765758064516,420.0,10.0,281.0241603945476
NorESM2-MM,ssp585,2006-01,12.767870425806452,-0.028215227935483873,420.0,10.0,205.0722573669066
NorESM2-MM,ssp585,2006-02,14.296593035714285,-0.022440179107142858,420.0,10.0,292.4234133159335
NorESM2-MM,ssp585,2006-03,21.634928277419355,-0.020507379822580645,420.0,10.0,529.5859228973856
NorESM2-MM,ssp585,2006-04,25.323894333333335,-0.031576938633333336,420.0,10.0,640.0071840729493
NorESM2-MM,ssp585,2006-05,25.62152092903226,-0.04492718167741935,420.0,10.0,587.9629671427322
NorESM2-MM,ssp585,2006-06,27.14719455,-0.07788312906666667,420.0,10.0,912.3739072560761
NorESM2-MM,ssp585,2006-07,31.864823958064516,-0.0703312705483871,420.0,10.0,733.4140849477341
NorESM2-MM,ssp585,2006-08,33.07372851612904,-0.061972372354838705,420.0,10.0,667.65035948536
NorESM2-MM,ssp585,2006-09,26.7479939,-0.0611693798,420.0,10.0,632.4442951845343
NorESM2-MM,ssp585,2006-10,23.237016341935483,-0.05704433941935484,420.0,10.0,609.8292052685906
NorESM2-MM,ssp585,2006-11,17.756536083333334,-0.05261597656666666,420.0,10.0,398.44082671827607
NorESM2-MM,ssp585,2006-12,10.674963128064515,-0.037590765,420.0,10.0,221.1947582139548
NorESM2-MM,ssp585,2007-01,12.176493870967741,-0.021066246387096775,420.0,10.0,245.6957686031641
NorESM2-MM,ssp585,2007-02,11.030088298214286,-0.022904574392857143,420.0,10.0,257.3783295904845
NorESM2-MM,ssp585,2007-03,17.436625516129034,-0.03320789016129032,420.0,10.0,436.8346403084179
NorESM2-MM,ssp585,2007-04,18.2851847,-0.0498231728,420.0,10.0,565.5918042311795
