model,scenario,time,future_tair,psis,Ca,al,D
NorESM2-MM,ssp245,2000-01,-4.4325808158064515,-0.09975414758064517,420.0,10.0,115.23621761828889
NorESM2-MM,ssp245,2000-02,-0.05105992206896559,-0.09257146227586208,420.0,10.0,122.0374437901005
NorESM2-MM,ssp245,2000-03,6.4438465863225804,-0.08492594983870967,420.0,10.0,163.29678180297628
NorESM2-MM,ssp245,2000-04,9.609727456666667,-0.07625598403333332,420.0,10.0,179.96505802653806
NorESM2-MM,ssp245,2000-05,15.250358277419355,-0.0827967051935484,420.0,10.0,199.96608180473322
NorESM2-MM,ssp245,2000-06,18.709313566666665,-0.0762524103,420.0,10.0,309.5507805680935
NorESM2-MM,ssp245,2000-07,20.211477748387097,-0.09004294370967743,420.0,10.0,310.9657233680037
NorESM2-MM,ssp245,2000-08,23.114655045161292,-0.09349655351612902,420.0,10.0,360.5604165441491
NorESM2-MM,ssp245,2000-09,15.751236516666667,-0.0924568137,420.0,10.0,315.1400004117029
NorESM2-MM,ssp245,2000-10,13.151003769354839,-0.09445515132258064,420.0,10.0,283.26231526460424
NorESM2-MM,ssp245,2000-11,3.9443303602,-0.0853667096,420.0,10.0,145.76225073408213
NorESM2-MM,ssp245,2000-12,-9.383490114193549,-0.08676039103225806,420.0,10.0,81.27702632221738
NorESM2-MM,ssp245,2001-01,-4.720315348387096,-0.08926453016129032,420.0,10.0,84.9857440316761
NorESM2-MM,ssp245,2001-02,-4.705211318571429,-0.08135847603571429,420.0,10.0,107.60375767942655
NorESM2-MM,ssp245,2001-03,1.5614938536774194,-0.07152977777419355,420.0,10.0,114.42191633183741
NorESM2-MM,ssp245,2001-04,11.724127516666666,-0.07164308826666667,420.0,10.0,228.5312290221866
NorESM2-MM,ssp245,2001-05,14.970378177419356,-0.08200279903225807,420.0,10.0,227.5865133224073
NorESM2-MM,ssp245,2001-06,22.54686943333333,-0.09179128523333334,420.0,10.0,454.7614010425277
NorESM2-MM,ssp245,2001-07,21.964371103225805,-0.10452913451612904,420.0,10.0,490.99393784917766
NorESM2-MM,ssp245,2001-08,24.069823967741936,-0.1314781729354839,420.0,10.0,398.1391375174408
NorESM2-MM,ssp245,2001-09,17.07536675,-0.11348272383333334,420.0,10.0,317.85437573432614
NorESM2-MM,ssp245,2001-10,8.852810654838711,-0.12675066841935484,420.0,10.0,246.86372971634077
NorESM2-MM,ssp245,2001-11,5.931065343666667,-0.12370912313333333,420.0,10.0,163.37562463353277
NorESM2-MM,ssp245,2001-12,2.9771225447096774,-0.10601597545161291,420.0,10.0,128.16910546654512
NorESM2-MM,ssp245,2002-01,-2.104198945483871,-0.11392808835483871,420.0,10.0,91.05559124085345
NorESM2-MM,ssp245,2002-02,6.166174351964285,-0.09895062196428571,420.0,10.0,170.93916207477176
NorESM2-MM,ssp245,2002-03,6.647918367096774,-0.09291109903225805,420.0,10.0,147.34958296356373
NorESM2-MM,ssp245,2002-04,10.59140783,-0.09283897483333334,420.0,10.0,199.3403720053359
NorESM2-MM,ssp245,2002-05,13.785406183870968,-0.08192506783870968,420.0,10.0,242.9816266333244
NorESM2-MM,ssp245,2002-06,18.422264266666666,-0.0892304657,420.0,10.0,234.77130537064016
NorESM2-MM,ssp245,2002-07,23.378730122580645,-0.12259221432258065,420.0,10.0,467.1199291535291
NorESM2-MM,ssp245,2002-08,21.34949604064516,-0.14353321741935485,420.0,10.0,399.36849295290034
NorESM2-MM,ssp245,2002-09,20.7394801,-0.12224340633333333,420.0,10.0,371.2481296209849
NorESM2-MM,ssp245,2002-10,10.367546706451613,-0.10981581103225806,420.0,10.0,225.13333111010235
NorESM2-MM,ssp245,2002-11,4.261840383266667,-0.08574092583333333,420.0,10.0,109.71631687127457
NorESM2-MM,ssp245,2002-12,-1.2253281441935484,-0.08505343774193548,420.0,10.0,105.78872740125722
NorESM2-MM,ssp245,2003-01,-2.173605419354839,-0.09473297322580645,420.0,10.0,120.98603906320066
NorESM2-MM,ssp245,2003-02,-6.941589619285714,-0.09644537703571429,420.0,10.0,85.5133419751179
NorESM2-MM,ssp245,2003-03,0.27850622,-0.08205252158064516,420.0,10.0,69.53624102772818
NorESM2-MM,ssp245,2003-04,6.160023446666667,-0.07493610333333334,420.0,10.0,126.14251421243338
NorESM2-MM,ssp245,2003-05,12.885941862580644,-0.07954148212903225,420.0,10.0,145.64170357052262
NorESM2-MM,ssp245,2003-06,19.226094066666665,-0.0780049938,420.0,10.0,272.51139248186956
NorESM2-MM,ssp245,2003-07,21.88881146612903,-0.10192141348387097,420.0,10.0,335.35921457272457
NorESM2-MM,ssp245,2003-08,22.45527589032258,-0.08323236832258064,420.0,10.0,276.48853928448153
NorESM2-MM,ssp245,2003-09,19.46193278333333,-0.07580416113333334,420.0,10.0,249.77431598786373
NorESM2-MM,ssp245,2003-10,12.588674122580645,-0.07463004261290324,420.0,10.0,250.98357234642316
NorESM2-MM,ssp245,2003-11,6.139809808000001,-0.0709466392,420.0,10.0,144.50834511431069
NorESM2-MM,ssp245,2003-12,1.6995602719354843,-0.06230102787096774,420.0,10.0,125.94208009412101
NorESM2-MM,ssp245,2004-01,-5.2263718500000005,-0.07123583729032258,420.0,10.0,124.7033086860487
NorESM2-MM,ssp245,2004-02,0.8545248496551721,-0.07519844941379311,420.0,10.0,170.49573012992818
NorESM2-MM,ssp245,2004-03,7.454759723548387,-0.0792687300967742,420.0,10.0,144.768547030584
NorESM2-MM,ssp245,2004-04,9.709610443199999,-0.0584057156,420.0,10.0,187.2319866512506
NorESM2-MM,ssp245,2004-05,12.940415774193546,-0.06473559603225806,420.0,10.0,154.40362717366398
NorESM2-MM,ssp245,2004-06,15.355218033333333,-0.08293347893333333,420.0,10.0,268.6979380431712
NorESM2-MM,ssp245,2004-07,21.33625148064516,-0.09134532367741936,420.0,10.0,229.4581551476943
NorESM2-MM,ssp245,2004-08,23.950385232258064,-0.08608842058064516,420.0,10.0,250.51351597416235
NorESM2-MM,ssp245,2004-09,16.064094606666668,-0.07811781459999999,420.0,10.0,225.84171103456237
NorESM2-MM,ssp245,2004-10,12.0955879,-0.07404708738709678,420.0,10.0,200.45626135545155
NorESM2-MM,ssp245,2004-11,6.3039351733333335,-0.07579257043333333,420.0,10.0,175.8167266383503
NorESM2-MM,ssp245,2004-12,1.2067771403225809,-0.06402588825806452,420.0,10.0,85.20912585803725
NorESM2-MM,ssp245,2005-01,-3.7805462685870963,-0.06688709809677419,420.0,10.0,81.91125904322801
NorESM2-MM,ssp245,2005-02,-0.9161324092857144,-0.07032313785714286,420.0,10.0,89.60018655316128
NorESM2-MM,ssp245,2005-03,-2.0136562787096772,-0.05872461609677419,420.0,10.0,66.87090819832467
NorESM2-MM,ssp245,2005-04,12.134525103333335,-0.05626152253333334,420.0,10.0,198.10990255967596
NorESM2-MM,ssp245,2005-05,13.442551922580646,-0.05582506151612903,420.0,10.0,159.9217094957876
NorESM2-MM,ssp245,2005-06,23.23818813333333,-0.06404316443333333,420.0,10.0,265.2789222117215
NorESM2-MM,ssp245,2005-07,23.421344361290323,-0.08690954696774195,420.0,10.0,345.85694368286494
NorESM2-MM,ssp245,2005-08,23.63050789032258,-0.10681288474193548,420.0,10.0,390.7761388754523
NorESM2-MM,ssp245,2005-09,19.265025366666666,-0.11649405060000001,420.0,10.0,362.039847350425
NorESM2-MM,ssp245,2005-10,9.285724209677419,-0.07653862751612904,420.0,10.0,145.52876167730156
NorESM2-MM,ssp245,2005-11,4.186979642000001,-0.07038189859999999,420.0,10.0,140.5581472413595
NorESM2-MM,ssp245,2005-12,-1.4602711390322582,-0.06807661164516128,420.0,10.0,110.7119873220796
NorESM2-MM,ssp245,2006-01,3.334413221322581,-0.06349105448387098,420.0,10.0,99.73963970605514
NorESM2-MM,ssp245,2006-02,-0.9060191153571426,-0.060799991857142854,420.0,10.0,142.93473207496953
NorESM2-MM,ssp245,2006-03,0.9790933208064517,-0.07084383683870968,420.0,10.0,163.0827145944833
NorESM2-MM,ssp245,2006-04,8.145286460000001,-0.074917784,420.0,10.0,201.78266585724393
NorESM2-MM,ssp245,2006-05,14.173946006451612,-0.062183462806451616,420.0,10.0,178.7482796607751
NorESM2-MM,ssp245,2006-06,20.632155800000003,-0.052782601033333335,420.0,10.0,174.10114460705566
