tas_anomaly,model,scenario,year,month
-1.2421662,NorESM2-MM,ssp245,1859,1
0.5105194,NorESM2-MM,ssp245,1859,2
-1.2116791,NorESM2-MM,ssp245,1859,3
-0.7689911,NorESM2-MM,ssp245,1859,4
-1.4060761,NorESM2-MM,ssp245,1859,5
-1.5332733,NorESM2-MM,ssp245,1859,6
-0.92444766,NorESM2-MM,ssp245,1859,7
-0.5605866,NorESM2-MM,ssp245,1859,8
-0.6194855,NorESM2-MM,ssp245,1859,9
-0.261911,NorESM2-MM,ssp245,1859,10
-0.4162384,NorESM2-MM,ssp245,1859,11
-1.5974823,NorESM2-MM,ssp245,1859,12
0.2908539,NorESM2-MM,ssp245,1860,1
-0.8248383,NorESM2-MM,ssp245,1860,2
-0.9581696,NorESM2-MM,ssp245,1860,3
-0.5283905,NorESM2-MM,ssp245,1860,4
-0.62406313,NorESM2-MM,ssp245,1860,5
-0.74613345,NorESM2-MM,ssp245,1860,6
-0.564798,NorESM2-MM,ssp245,1860,7
-0.6912323,NorESM2-MM,ssp245,1860,8
-0.65171206,NorESM2-MM,ssp245,1860,9
-0.9832245,NorESM2-MM,ssp245,1860,10
0.8282074,NorESM2-MM,ssp245,1860,11
-0.21308288,NorESM2-MM,ssp245,1860,12
-1.2758576,NorESM2-MM,ssp245,1861,1
0.1530365,NorESM2-MM,ssp245,1861,2
-0.47660217,NorESM2-MM,ssp245,1861,3
-2.055551,NorESM2-MM,ssp245,1861,4
-0.7847992,NorESM2-MM,ssp245,1861,5
-1.5662628,NorESM2-MM,ssp245,1861,6
-1.7325836,NorESM2-MM,ssp245,1861,7
-2.1722198,NorESM2-MM,ssp245,1861,8
-1.0321442,NorESM2-MM,ssp245,1861,9
-1.5173126,NorESM2-MM,ssp245,1861,10
-3.4533782,NorESM2-MM,ssp245,1861,11
-1.3117462,NorESM2-MM,ssp245,1861,12
0.18263856,NorESM2-MM,ssp245,1862,1
-0.7871796,NorESM2-MM,ssp245,1862,2
0.0361847,NorESM2-MM,ssp245,1862,3
-1.4466339,NorESM2-MM,ssp245,1862,4
-0.8559967,NorESM2-MM,ssp245,1862,5
-0.7760712,NorESM2-MM,ssp245,1862,6
-0.93573916,NorESM2-MM,ssp245,1862,7
-0.589975,NorESM2-MM,ssp245,1862,8
-0.35645446,NorESM2-MM,ssp245,1862,9
-0.38947448,NorESM2-MM,ssp245,1862,10
-1.9505097,NorESM2-MM,ssp245,1862,11
-0.9090363,NorESM2-MM,ssp245,1862,12
-0.9306427,NorESM2-MM,ssp245,1863,1
-2.1458526,NorESM2-MM,ssp245,1863,2
-0.4765106,NorESM2-MM,ssp245,1863,3
0.07546082,NorESM2-MM,ssp245,1863,4
-0.51053774,NorESM2-MM,ssp245,1863,5
-0.8448578,NorESM2-MM,ssp245,1863,6
-0.85495913,NorESM2-MM,ssp245,1863,7
-0.8728119,NorESM2-MM,ssp245,1863,8
-0.8202301,NorESM2-MM,ssp245,1863,9
-0.54511416,NorESM2-MM,ssp245,1863,10
